location,project,VegHF,SoilHF,VegForDetectionDistance
329-SE,ABMI Ecosystem Health 2015,PineR,NA,Conif
329-SW,ABMI Ecosystem Health 2015,TreedFenR,NA,WetTreed
32-NE,ABMI Ecosystem Health 2015,ShrubbyFen,NA,Shrub
32-NW,ABMI Ecosystem Health 2015,TreedBogR,NA,WetTreed
32-SE,ABMI Ecosystem Health 2015,TreedBogR,NA,WetTreed
32-SW,ABMI Ecosystem Health 2015,PineR,NA,Conif
330-NE,ABMI Ecosystem Health 2015,PineR,NA,Conif
330-NW,ABMI Ecosystem Health 2015,PineR,NA,Conif
330-SE,ABMI Ecosystem Health 2015,PineR,NA,Conif
330-SW,ABMI Ecosystem Health 2015,TreedFenR,NA,WetTreed
331-NE,ABMI Ecosystem Health 2015,TreedBog6,NA,WetTreed
331-NW,ABMI Ecosystem Health 2015,TreedFen5,NA,WetTreed
331-SE,ABMI Ecosystem Health 2015,TreedFen5,NA,WetTreed
331-SW,ABMI Ecosystem Health 2015,Decid5,NA,Decid
332-NE,ABMI Ecosystem Health 2017,Pine6,NA,Decid
332-NW,ABMI Ecosystem Health 2017,Pine3,NA,Conif
332-SE,ABMI Ecosystem Health 2017,Mixedwood6,NA,Decid
332-SW,ABMI Ecosystem Health 2017,TreedBog6,NA,Decid
33-NE,ABMI Ecosystem Health 2015,PineR,NA,Conif
33-NW,ABMI Ecosystem Health 2015,Mixedwood7,NA,Conif
33-SE,ABMI Ecosystem Health 2015,Pine7,NA,Conif
33-SW,ABMI Ecosystem Health 2015,Mixedwood6,NA,Shrub
346-NE,ABMI Ecosystem Health 2017,Decid5,NA,Decid
346-NW,ABMI Ecosystem Health 2017,Decid5,NA,Decid
346-SE,ABMI Ecosystem Health 2017,Pine5,NA,Conif
346-SW,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
347-NE,ABMI Ecosystem Health 2017,Mixedwood9,NA,Decid
347-NW,ABMI Ecosystem Health 2017,TreedSwamp8,NA,WetTreed
347-SE,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
347-SW,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
348-NE,ABMI Ecosystem Health 2017,GraminoidFen,NA,WetGrass
348-NW,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
348-SE,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
348-SW,ABMI Ecosystem Health 2017,ShrubbyBog,NA,Shrub
349-NE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
349-NW,ABMI Ecosystem Health 2018,ShrubbyBog,NA,Shrub
349-SE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
349-SW,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
34-NE,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,WetTreed
34-NW,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
34-SE,ABMI Ecosystem Health 2015,TreedSwamp2,NA,WetTreed
34-SW,ABMI Ecosystem Health 2015,Spruce5,NA,Conif
350-NE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
350-NW,ABMI Ecosystem Health 2018,Decid1,NA,Decid
350-SE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
350-SW,ABMI Ecosystem Health 2018,Decid1,NA,Decid
351-NE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
351-NW,ABMI Ecosystem Health 2018,TreedFen5,NA,WetTreed
351-SE,ABMI Ecosystem Health 2018,TreedFen5,NA,WetTreed
351-SW,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
352-NE,ABMI Ecosystem Health 2016,TreedFen2,NA,WetGrass
352-NW,ABMI Ecosystem Health 2016,TreedBog2,NA,WetTreed
352-SE,ABMI Ecosystem Health 2016,TreedFen2,NA,WetGrass
352-SW,ABMI Ecosystem Health 2016,TreedFen2,NA,WetGrass
353-NE,ABMI Ecosystem Health 2016,ShrubbySwamp,NA,WetTreed
353-NW,ABMI Ecosystem Health 2016,ShrubbySwamp,NA,WetTreed
353-SE,ABMI Ecosystem Health 2016,TreedBog2,NA,WetTreed
353-SW,ABMI Ecosystem Health 2016,TreedFen2,NA,WetGrass
354-NE,ABMI Ecosystem Health 2016,TreedBog1,NA,WetTreed
354-NW,ABMI Ecosystem Health 2016,TreedBog1,NA,Conif
354-SE,ABMI Ecosystem Health 2016,TreedBog1,NA,WetTreed
354-SW,ABMI Ecosystem Health 2016,TreedBog1,NA,WetTreed
358-NE,ABMI Ecosystem Health 2015,TreedBogR,NA,WetTreed
358-NW,ABMI Ecosystem Health 2015,PineR,NA,Conif
358-SE,ABMI Ecosystem Health 2015,Water,Water,Water
358-SW,ABMI Ecosystem Health 2015,DecidR,NA,Decid
359-NE,ABMI Ecosystem Health 2015,Pine6,NA,Conif
359-NW,ABMI Ecosystem Health 2015,Pine6,NA,Conif
359-SE,ABMI Ecosystem Health 2015,Decid7,NA,Decid
359-SW,ABMI Ecosystem Health 2015,Decid6,NA,Decid
35-NE,ABMI Ecosystem Health 2017,GrassHerb,NA,Grass
35-NW,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
35-SE,ABMI Ecosystem Health 2017,GraminoidFen,NA,WetGrass
35-SW,ABMI Ecosystem Health 2017,GraminoidFen,NA,WetGrass
360-NE,ABMI Ecosystem Health 2015,Spruce7,NA,Conif
360-NW,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,Conif
360-SE,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,Conif
360-SW,ABMI Ecosystem Health 2015,TreedFen5,NA,Conif
361-NE,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
361-NW,ABMI Ecosystem Health 2017,Spruce2,NA,Conif
361-SE,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
361-SW,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
362-NE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
362-NW,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
362-SE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
362-SW,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
36-NE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
36-NW,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
36-SE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
36-SW,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
376-NE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
376-NW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
376-SE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
376-SW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
377-NE,ABMI Ecosystem Health 2017,ShrubbyBog,NA,Shrub
377-NW,ABMI Ecosystem Health 2017,Decid2,NA,Decid
377-SE,ABMI Ecosystem Health 2017,ShrubbyBog,NA,Shrub
377-SW,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
378-NE,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
378-NW,ABMI Ecosystem Health 2017,TreedBog1,NA,WetTreed
378-SE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
378-SW,ABMI Ecosystem Health 2017,TreedBog1,NA,WetTreed
379-NE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
379-NW,ABMI Ecosystem Health 2018,ShrubbyFen,NA,Shrub
379-SE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
379-SW,ABMI Ecosystem Health 2018,Spruce2,NA,Conif
37-NE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
37-NW,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
37-SE,ABMI Ecosystem Health 2017,Spruce1,NA,Conif
37-SW,ABMI Ecosystem Health 2017,TreedFen1,NA,WetTreed
380-NE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
380-NW,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
380-SE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
380-SW,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
381-NE,ABMI Ecosystem Health 2018,ShrubbyBog,NA,Shrub
381-NW,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
381-SE,ABMI Ecosystem Health 2018,Spruce6,NA,Conif
381-SW,ABMI Ecosystem Health 2018,ShrubbyBog,NA,Shrub
382-NE,ABMI Ecosystem Health 2016,Marsh,NA,Shrub
382-NW,ABMI Ecosystem Health 2016,TreedFen2,NA,Shrub
382-SE,ABMI Ecosystem Health 2016,TreedFen2,NA,Conif
382-SW,ABMI Ecosystem Health 2016,Spruce2,NA,Conif
383-NE,ABMI Ecosystem Health 2016,ShrubbySwamp,NA,Shrub
383-NW,ABMI Ecosystem Health 2016,Pine2,NA,Conif
383-SE,ABMI Ecosystem Health 2016,Shrub,NA,Shrub
383-SW,ABMI Ecosystem Health 2016,TreedBog2,NA,WetTreed
384-NE,ABMI Ecosystem Health 2016,TreedFen2,NA,Conif
384-NW,ABMI Ecosystem Health 2016,TreedFen1,NA,Conif
384-SE,ABMI Ecosystem Health 2016,TreedFen1,NA,Conif
384-SW,ABMI Ecosystem Health 2016,TreedFen1,NA,Conif
388B-NE,ABMI Ecosystem Health 2015,CCDecid2,CutBlocks,Decid
388B-NW,ABMI Ecosystem Health 2015,CCMixedwood2,CutBlocks,Conif
388B-SE,ABMI Ecosystem Health 2015,TreedFen4,NA,WetTreed
388B-SW,ABMI Ecosystem Health 2015,RuralResidentialIndustrial,RuralResidentialIndustrial,HF
388-NE,ABMI Ecosystem Health 2015,Mixedwood3,NA,Decid
388-NW,ABMI Ecosystem Health 2015,Shrub,NA,Shrub
388-SE,ABMI Ecosystem Health 2015,TreedBog6,NA,WetTreed
388-SW,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,Shrub
389-NE,ABMI Ecosystem Health 2015,Decid4,NA,Decid
389-NW,ABMI Ecosystem Health 2015,Mixedwood4,NA,Conif
389-SE,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
389-SW,ABMI Ecosystem Health 2015,TreedSwamp5,NA,Conif
38-NE,ABMI Ecosystem Health 2018,Decid1,NA,Decid
38-SW,ABMI Ecosystem Health 2018,Pine1,NA,Conif
390-NE,ABMI Ecosystem Health 2015,TreedBog4,NA,HF
390-NW,ABMI Ecosystem Health 2015,SeismicLineWide,SeismicLineWide,HF
390-SE,ABMI Ecosystem Health 2015,TreedBog8,NA,WetTreed
390-SW,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
391-NE,ABMI Ecosystem Health 2017,TreedFen5,NA,WetTreed
391-NW,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
391-SE,ABMI Ecosystem Health 2017,GrassHerb,NA,Grass
391-SW,ABMI Ecosystem Health 2017,TreedFen5,NA,WetTreed
392-NE,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
392-NW,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
392-SE,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
392-SW,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
39-NE,ABMI Ecosystem Health 2018,Decid1,NA,Decid
39-SW,ABMI Ecosystem Health 2018,Pine1,NA,Conif
3-NE,ABMI Ecosystem Health 2015,Spruce7,NA,Conif
3-NW,ABMI Ecosystem Health 2015,Spruce1,NA,Conif
3-SE,ABMI Ecosystem Health 2015,Pine7,NA,Conif
3-SW,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
403-NE,ABMI Ecosystem Health 2018,Decid5,NA,Decid
403-NW,ABMI Ecosystem Health 2018,TreedSwamp5,NA,WetTreed
403-SE,ABMI Ecosystem Health 2018,Decid2,NA,Decid
403-SW,ABMI Ecosystem Health 2018,Decid5,NA,Decid
404-NE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
404-NW,ABMI Ecosystem Health 2018,Mixedwood2,NA,Decid
404-SE,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
404-SW,ABMI Ecosystem Health 2018,TreedBog2,NA,WetTreed
405-NE,ABMI Ecosystem Health 2018,ShrubbyFen,NA,Shrub
405-NW,ABMI Ecosystem Health 2018,TreedBog9,NA,WetTreed
405-SE,ABMI Ecosystem Health 2018,Spruce7,NA,Conif
405-SW,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
412-NE,ABMI Ecosystem Health 2015,Shrub,NA,Shrub
412-NW,ABMI Ecosystem Health 2015,TreedFen1,NA,WetTreed
412-SE,ABMI Ecosystem Health 2015,Shrub,NA,Shrub
412-SW,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
413-NE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
413-NW,ABMI Ecosystem Health 2015,Pine4,NA,Conif
413-SE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
413-SW,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
414-NE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
414-NW,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
414-SE,ABMI Ecosystem Health 2015,TreedBog8,NA,WetTreed
414-SW,ABMI Ecosystem Health 2015,Spruce3,NA,Conif
415-NE,ABMI Ecosystem Health 2017,Shrub,NA,Shrub
415-NW,ABMI Ecosystem Health 2017,Shrub,NA,Shrub
415-SE,ABMI Ecosystem Health 2017,Spruce8,NA,Conif
415-SW,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
416-NE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
416-NW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
416-SE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
416-SW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
417-NE,ABMI Ecosystem Health 2017,WellSite,WellSite,HF
417-NW,ABMI Ecosystem Health 2017,Spruce6,NA,Conif
417-SE,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
417-SW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
418-NE,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
418-SW,ABMI Ecosystem Health 2018,SeismicLineWide,SeismicLineWide,HF
419-NE,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
419-SW,ABMI Ecosystem Health 2018,TreedSwamp5,NA,WetTreed
420-NE,ABMI Ecosystem Health 2018,TreedBog4,NA,WetTreed
420-SW,ABMI Ecosystem Health 2018,TreedFen4,NA,WetTreed
421-NE,ABMI Ecosystem Health 2016,Spruce5,NA,Conif
421-NW,ABMI Ecosystem Health 2016,Spruce5,NA,Conif
421-SE,ABMI Ecosystem Health 2016,SpruceR,NA,Conif
421-SW,ABMI Ecosystem Health 2016,ShrubbySwamp,NA,Conif
422-NE,ABMI Ecosystem Health 2016,Pine5,NA,Conif
422-NW,ABMI Ecosystem Health 2016,Pine5,NA,Conif
422-SE,ABMI Ecosystem Health 2016,Pine2,NA,Conif
422-SW,ABMI Ecosystem Health 2016,Pine2,NA,Conif
433-NE,ABMI Ecosystem Health 2018,SeismicLineWide,SeismicLineWide,HF
433-NW,ABMI Ecosystem Health 2018,TreedBog4,NA,WetTreed
433-SE,ABMI Ecosystem Health 2018,Mixedwood5,NA,Decid
433-SW,ABMI Ecosystem Health 2018,Decid5,NA,Decid
434-NE,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
434-NW,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
434-SE,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
434-SW,ABMI Ecosystem Health 2018,Decid5,NA,Decid
435-NE,ABMI Ecosystem Health 2018,TreedBog1,NA,WetTreed
435-NW,ABMI Ecosystem Health 2018,TreedBog1,NA,WetTreed
435-SE,ABMI Ecosystem Health 2018,Decid1,NA,Decid
435-SW,ABMI Ecosystem Health 2018,CCPine1,CutBlocks,Shrub
442-NE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
442-NW,ABMI Ecosystem Health 2015,ShrubbyBog,NA,WetTreed
442-SE,ABMI Ecosystem Health 2015,TreedFen4,NA,WetTreed
442-SW,ABMI Ecosystem Health 2015,ShrubbyBog,NA,Water
443-NE,ABMI Ecosystem Health 2015,Pine4,NA,Conif
443-NW,ABMI Ecosystem Health 2015,Decid4,NA,Decid
443-SE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
443-SW,ABMI Ecosystem Health 2015,Pine4,NA,Conif
444-NE,ABMI Ecosystem Health 2015,TreedBog3,NA,WetTreed
444-NW,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
444-SE,ABMI Ecosystem Health 2015,TreedBog3,NA,WetTreed
444-SW,ABMI Ecosystem Health 2015,ShrubbyBog,NA,WetTreed
445-NE,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
445-NW,ABMI Ecosystem Health 2017,TreedBog3,NA,WetTreed
445-SE,ABMI Ecosystem Health 2017,TreedBogR,NA,WetTreed
445-SW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
446-NE,ABMI Ecosystem Health 2017,Decid3,NA,Decid
446-NW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
446-SE,ABMI Ecosystem Health 2017,TreedBog3,NA,WetTreed
446-SW,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
447-NE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
447-NW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
447-SE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
447-SW,ABMI Ecosystem Health 2017,Decid4,NA,Decid
448-NE,ABMI Ecosystem Health 2018,MineSite,MineSite,Decid
448-SW,ABMI Ecosystem Health 2018,Mixedwood5,NA,Decid
449-NE,ABMI Ecosystem Health 2018,TreedFen5,NA,WetTreed
449-SW,ABMI Ecosystem Health 2018,Spruce6,NA,Conif
450-NE,ABMI Ecosystem Health 2018,TreedFen7,NA,WetTreed
450-SW,ABMI Ecosystem Health 2018,TreedFen5,NA,WetTreed
451-NE,ABMI Ecosystem Health 2016,Spruce5,NA,Conif
451-NW,ABMI Ecosystem Health 2016,Spruce4,NA,Conif
451-SE,ABMI Ecosystem Health 2016,TreedFenR,NA,Conif
451-SE,ABMI Ecosystem Health 2017,PineR,NA,Conif
451-SW,ABMI Ecosystem Health 2016,TreedBog2,NA,Conif
452-NE,ABMI Ecosystem Health 2016,Pine2,NA,Conif
452-NE,ABMI Ecosystem Health 2017,PineR,NA,Conif
452-NW,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
452-SE,ABMI Ecosystem Health 2016,Pine2,NA,Conif
452-SW,ABMI Ecosystem Health 2016,Pine2,NA,Conif
463-NE,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
463-NW,ABMI Ecosystem Health 2018,ShrubbySwamp,NA,Shrub
463-SE,ABMI Ecosystem Health 2018,Decid4,NA,Decid
463-SW,ABMI Ecosystem Health 2018,Decid4,NA,Decid
464-NE,ABMI Ecosystem Health 2018,ShrubbyBog,NA,Shrub
464-NW,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
464-SE,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
464-SW,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
465-NE,ABMI Ecosystem Health 2018,Decid4,NA,Decid
465-NW,ABMI Ecosystem Health 2018,Decid6,NA,Decid
465-SE,ABMI Ecosystem Health 2018,TreedFen7,NA,WetTreed
465-SW,ABMI Ecosystem Health 2018,TreedBog7,NA,WetTreed
472-NE,ABMI Ecosystem Health 2015,Spruce4,NA,Conif
472-NW,ABMI Ecosystem Health 2015,TreedFen5,NA,WetTreed
472-SE,ABMI Ecosystem Health 2015,TreedFen5,NA,WetTreed
472-SW,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
473-NE,ABMI Ecosystem Health 2015,Decid5,NA,Decid
473-NW,ABMI Ecosystem Health 2015,Mixedwood6,NA,Conif
473-SE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
473-SW,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,Shrub
474-NE,ABMI Ecosystem Health 2015,TreedFen4,NA,WetTreed
474-NW,ABMI Ecosystem Health 2015,TreedFen4,NA,WetTreed
474-SE,ABMI Ecosystem Health 2015,TreedBog4,NA,WetTreed
474-SW,ABMI Ecosystem Health 2015,TreedFen7,NA,WetTreed
475-NE,ABMI Ecosystem Health 2017,TreedFen7,NA,WetTreed
475-NW,ABMI Ecosystem Health 2017,TreedFen7,NA,WetTreed
475-SE,ABMI Ecosystem Health 2017,TreedFen3,NA,WetTreed
475-SW,ABMI Ecosystem Health 2017,TreedFen3,NA,WetTreed
476-NE,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
476-NW,ABMI Ecosystem Health 2017,TreedFen4,NA,WetTreed
476-SE,ABMI Ecosystem Health 2017,Pine4,NA,Conif
476-SW,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
477-NE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
477-NW,ABMI Ecosystem Health 2017,Marsh,NA,WetGrass
477-SE,ABMI Ecosystem Health 2017,TreedBog6,NA,WetTreed
477-SW,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
478-NE,ABMI Ecosystem Health 2018,Mixedwood8,NA,Decid
478-SW,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
479-NE,ABMI Ecosystem Health 2018,TreedFen4,NA,WetTreed
479-SW,ABMI Ecosystem Health 2018,TreedBog6,NA,WetTreed
480-NE,ABMI Ecosystem Health 2018,TreedBog3,NA,WetTreed
480-SW,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
481-NE,ABMI Ecosystem Health 2016,Pine5,NA,Conif
481-NW,ABMI Ecosystem Health 2016,CCSpruce1,CutBlocks,Shrub
481-NW,ABMI Ecosystem Health 2017,CCMixedwoodR,CutBlocks,HF
481-SE,ABMI Ecosystem Health 2016,Pine5,NA,Decid
481-SE,ABMI Ecosystem Health 2017,MixedwoodR,NA,Decid
481-SW,ABMI Ecosystem Health 2016,CCSpruce1,CutBlocks,Shrub
481-SW,ABMI Ecosystem Health 2017,CCMixedwoodR,CutBlocks,HF
482-NE,ABMI Ecosystem Health 2016,Decid6,NA,Decid
482-NW,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
482-SE,ABMI Ecosystem Health 2016,Mixedwood5,NA,Conif
482-SW,ABMI Ecosystem Health 2016,Decid7,NA,Decid
482-SW,ABMI Ecosystem Health 2017,DecidR,NA,Decid
483-NE,ABMI Ecosystem Health 2016,Decid5,NA,Decid
483-NE,ABMI Ecosystem Health 2017,Decid4,NA,Decid
483-NW,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
483-SE,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
483-SW,ABMI Ecosystem Health 2016,ShrubbyFen,NA,Shrub
497-NE,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
497-NW,ABMI Ecosystem Health 2016,Decid6,NA,Decid
497-SE,ABMI Ecosystem Health 2016,TreedFen6,NA,WetTreed
497-SW,ABMI Ecosystem Health 2016,TreedFen6,NA,WetTreed
498-NE,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
498-NW,ABMI Ecosystem Health 2016,ShrubbySwamp,NA,Shrub
498-SE,ABMI Ecosystem Health 2016,TreedFen5,NA,WetTreed
498-SW,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
499-NE,ABMI Ecosystem Health 2016,TreedFen5,NA,WetTreed
499-NW,ABMI Ecosystem Health 2016,TreedFen5,NA,WetTreed
499-SE,ABMI Ecosystem Health 2016,TreedSwamp4,NA,WetTreed
499-SW,ABMI Ecosystem Health 2016,TreedFen3,NA,WetTreed
4-NE,ABMI Ecosystem Health 2017,Spruce6,NA,Conif
4-NW,ABMI Ecosystem Health 2017,Spruce5,NA,Conif
4-SE,ABMI Ecosystem Health 2017,Pine5,NA,Conif
4-SW,ABMI Ecosystem Health 2017,Mixedwood5,NA,Decid
503-NE,ABMI Ecosystem Health 2018,GraminoidFen,NA,WetGrass
503-NW,ABMI Ecosystem Health 2018,GraminoidFen,NA,WetGrass
503-SE,ABMI Ecosystem Health 2018,TreedBog4,NA,WetTreed
503-SW,ABMI Ecosystem Health 2018,GraminoidFen,NA,WetGrass
504-NE,ABMI Ecosystem Health 2018,Decid4,NA,Decid
504-NW,ABMI Ecosystem Health 2018,TreedBog4,NA,WetTreed
504-SE,ABMI Ecosystem Health 2018,Decid4,NA,Decid
504-SW,ABMI Ecosystem Health 2018,Decid4,NA,Decid
505-NE,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
505-NW,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
505-SE,ABMI Ecosystem Health 2018,TreedBog3,NA,WetTreed
505-SW,ABMI Ecosystem Health 2018,TreedBog5,NA,WetTreed
506-NE,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
506-NW,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
506-SE,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
506-SW,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
507-NE,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
507-NW,ABMI Ecosystem Health 2016,TreedBog5,NA,WetTreed
507-SE,ABMI Ecosystem Health 2016,TreedFen6,NA,WetTreed
507-SW,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
508-NE,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
508-NW,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
508-SE,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
508-SW,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
509-NE,ABMI Ecosystem Health 2014,TreedBog4,UNK,Conif
509-NW,ABMI Ecosystem Health 2014,Pine5,UNK,Conif
509-SE,ABMI Ecosystem Health 2014,TreedBog5,UNK,Conif
509-SW,ABMI Ecosystem Health 2014,GraminoidFen,UNK,WetGrass
512-NE,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
512-NW,ABMI Ecosystem Health 2015,Decid5,NA,Decid
512-SE,ABMI Ecosystem Health 2015,TreedBog5,NA,WetTreed
512-SW,ABMI Ecosystem Health 2015,Mixedwood5,NA,Conif
514-NE,ABMI Ecosystem Health 2015,Decid4,NA,Decid
514-NW,ABMI Ecosystem Health 2015,TreedBog6,NA,WetTreed
514-SE,ABMI Ecosystem Health 2015,Decid4,NA,Decid
514-SW,ABMI Ecosystem Health 2015,TreedFen6,NA,WetTreed
528-NE,ABMI Ecosystem Health 2016,CCSpruceR,CutBlocks,HF
528-NW,ABMI Ecosystem Health 2016,Spruce9,NA,Conif
528-SE,ABMI Ecosystem Health 2016,Spruce5,NA,Conif
528-SW,ABMI Ecosystem Health 2016,Decid4,NA,Decid
529-NE,ABMI Ecosystem Health 2016,ShrubbyFen,NA,Shrub
529-NW,ABMI Ecosystem Health 2016,TreedFen4,NA,WetTreed
529-SE,ABMI Ecosystem Health 2016,TreedFen5,NA,WetTreed
529-SW,ABMI Ecosystem Health 2016,TreedBog5,NA,WetTreed
530-NE,ABMI Ecosystem Health 2016,TreedBog4,NA,WetTreed
530-NW,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
530-SE,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
530-SW,ABMI Ecosystem Health 2016,TreedBog6,NA,WetTreed
534-NE,ABMI Ecosystem Health 2018,TreedBog4,NA,WetTreed
